text,HS,Abusive,HS_Weak,HS_Moderate,HS_Strong
user ngentot,0,1,0,0,0
user user user hina malu fasilitas perintah bani daster malu harga makan gaji negara hina haram,1,1,0,1,0
menhub presiden jokowi ide arah proses bangun bandara kertajati,0,0,0,0,0
cerita sang kakak kuat dari bisu suara,0,0,0,0,0
kabar barel ui bom ya allah kasihan banget iya kost situ,0,0,0,0,0
user user nang anak pepo xe kali kali nampang doang xe kali kali nmo bawa mana bangsa foto model xe kali kali xe kali kali ncebong urus rewel xf kali f kali xb xf kali,1,1,0,1,0
user orang kayak sekolah negeri nyg benar agam sekolah kristen mahal kayak miskin etnis,0,0,0,0,0
user user user user maksud didik batas helen keller wanita bisu tuli buta gelar sarjana amp prestasi steven hawking kembang ilmu dalam lumpuh,0,0,0,0,0
besok prabowo nyapres teriak teriak timpang percaya katai wartawan gaji,1,0,1,0,0
user tabayyun ngomyang cocot busuk tertawa pelihara mai isu sara bangga,1,1,1,0,0
nsebagai huni freeport bangga sih ya moga tenaga kerja asing nya batas tenaga kerja indonesia butuh,0,0,0,0,0
user user sabar fikir golong rakyat indonesia bentuk fisik manusia jiwa komunis golong komunis krisis sifat manusia,0,0,0,0,0
user perek doyan gagahin,0,1,0,0,0
mohon datang nabi menang orang orang kafir,0,0,0,0,0
user user bilang kapir susah hahaha sel otak sambung iya susah kapir cebong orang omong mana omong mana katai agama islam pakai rujuk internasional hahaha,1,1,1,0,0
maksutnya kelas diam bicara iya user nama otoriter,1,0,1,0,0
temennya makan sampah makan sampah sih iya,0,0,0,0,0
user user user user user user user user user user user user user bodat komunis tolol,1,1,1,0,0
presiden joko widodo instruksi badan awas uang,0,0,0,0,0
user ahahahahaha cape ngua video detik benar omong sial,0,1,0,0,0
user kucing sipit,0,0,0,0,0
ratus ulama satri desak anugerah gelar pahlawan nasional kah ahmad sanusi pikir rakyat,0,0,0,0,0
munir kait rezim jokowi anti islam twitkan moga jelas,1,0,0,1,0
user user anak soemitro begawan ekonomi pola pikir admin gerinda kuliah fakir ilmu,0,0,0,0,0
psk artis onlen marak bicara tyas mirasih ingat netizen nurl,0,0,0,0,0
temenku liat ss an story sih istri sih istri curhat habis habis katai sih suami bajing nge mention akun sih suami,0,1,0,0,0
monyet ngebut nabrak anak tertawa url,0,0,0,0,0
user freeport kontrak habis istimewa aneh dollar tembus mingkem jilat kuasa dungu iya tum bobrok kerja rezim,1,1,1,0,0
user aduh tolol ya dukung rezim ya kayak,1,1,0,1,0
user user diktator jokowi jongos organisasi jagal manusia nu atur siasat kampanye,1,1,0,1,0
retweet user bicara sembarang sembarang panitia khusus hambat kpk lidi teman nya koruptor bubar dewan wakil rakyat sarang koruptor,1,0,0,0,1
user sehat om kalo sehat minum kencing onta,0,1,0,0,0
retweet user kirim bantu citra,1,0,1,0,0
user eh anjing bacod lu tantang duel lu bangsad,1,1,1,0,0
rindu rindu berat nbiarin sih kunyuk dil nanggung,0,1,0,0,0
gosip orang iri sebar orang bodoh terima orang idiot,0,1,0,0,0
user user dasar kunyuk nyariduit modal tipu bangsat abu,1,1,1,0,0
user user baca berita nya nih aki deh ganggu jiwa anda nya amin kalah malaikat bilang kafir profesional aseng kasihan malaikat erti urus capres bawa aki gila,1,1,1,0,0
user user user user user user ngoaaahahaaa saking kejang kejang nya sih bani kuda wowok bin onta baca tulis selingkuh kuda wowok ngoaaahahaaaa xf kali f xa xa xf kali f xa xa,1,1,0,1,0
user user cari simpati ummat muslim jabar pilpres mudah an ulama amp ummat islam jabar kesima amp pengaruh trik gaya munafik sih mukidi,1,0,1,0,0
retweet user nebar benci ahok mbak mbak sih dakwa loh user,1,0,1,0,0
user mampus gue mampus yugi mampus onta arab,1,1,1,0,0
user thaqeef jdt alya spek bulat tudung ala ala ustazah sekolah agama ð,0,0,0,0,0
demo jilid jilid nyata user kitab suci fiksi tuju utama gera bela islam jilid jilid versi motif politik jatuh ahok ahok korban,1,0,0,1,0
user user user user tahu aku maksa orang penjara bajing kedok agama,1,1,1,0,0
xe kali kali cpada pagi hamba iman kepada kafir xe kali kali muthirna bi fadhlillahi whatsapp rohmatih xe kali kali hujan karunia rahmat allah iman,0,0,0,0,0
tolak berita isu bohong sukses pilih kepala daerah dami kota diri,0,0,0,0,0
user user user user dongo lu bong sial lu kalabong kapai marah nyuruh lu laden lu netas bong bong,1,1,1,0,0
dukung prabowo arb sda orang bejad tabiat kasar orang user,1,1,0,1,0
user baca ff couple straight yuri yaoi jatohnya delusi sih orang preferensi baca cerita suka hibur gay hak bahasa,0,0,0,0,0
surabaya objektif mumpuni politis indonesia hebat jokowi presiden url,1,0,1,0,0
muslim menzhalimi jerumus aniaya muslim,0,0,0,0,0
user bicara album album beli pakai duit ngerugiin emak xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali nakibat diceramahin beli album,1,1,1,0,0
user bodo suka nge distract pikir,0,1,0,0,0
nama jonru ganteng status lapor ujar benci duga dukung anies sandi,1,0,1,0,0
user omong lu geblek,1,1,1,0,0
user mm dipercayain orang noob xf kali f kali kali f,0,0,0,0,0
tuju kalo usir budha indonesia,1,0,0,1,0
hina islam muhammad budi suku ajar solat pahala allah swt,1,0,0,1,0
bubar iluni ui,1,0,0,0,1
user user sial antek asing,0,1,0,0,0
user user cepat islam nyata sesat sesat bank syariah,1,1,0,1,0
buku langka tuanku rao teror agama islam mazhab hambali tanah batak halaman hardcover minat,0,0,0,0,0
calon presiden tes urine bnn laku tes urine sih,0,0,0,0,0
user ikut sial,1,1,1,0,0
user potonya diumpetin nberbusa sabun soklin nmawar cap setia nbiasa dikibulin wajar ku percaya,0,0,0,0,0
user gub nabrak etika kalo jabat lantik kalo gub dukun iya capres kalo senang presiden jabat iya lantik beliau cagub entar kalo dukung presiden nyagub,1,0,1,0,0
user user user user user lantai strong dasar cebong dungu turun lantai strong,1,1,0,1,0
seriuus nih berita polisi ikut politik braninya tukang becak doang pakai deh takut ya power syndrome landa istana vs tukang becak user user user user user,1,0,0,1,0
user user rezim menteri nya lucu,0,0,0,0,0
prabowo subianto restu ketua gerindra jateng maju pilgub alas url,1,0,1,0,0
user rute pondok cina gang sentiong berangkat sedia pkl wib terima kasih,0,0,0,0,0
serah nasib bangsa orang orang abdi meng kacung cukong cukong aseng khianat nkri modal dana kampanye,1,1,0,1,0
era kapitalisme korporasi tumbuh gigantik kuasa kuat ekonomi lampau negara,0,0,0,0,0
retweet user ekor monyet kebun binatang tianjin cina viral milik wajah manusia monyet berus xe kali xa,0,0,0,0,0
user user partai pdip bajing,1,1,0,1,0
kaum kapir nya kelit catut islam giat rusak aqidah islam,1,1,0,1,0
user iya sih ndulu jokowi tinggal solo kafir solo keren bersih nketika jokowi tinggal jakarta kafir jakarta keren sungai bersih nnah kerja indak becus tanah abang ruwet parah kali xc xb,0,0,0,0,0
maksud perintah hibah catat aset anggar biaya perbaiakan awat rutin user user user user user user user,0,0,0,0,0
user user user user user user user alaaaahhhhh omong cebong mah tahu mana arah pakai tol kelok sok islam bong,1,1,0,1,0
dungu biadab bangsa ajak sembah sembah allah swt dungu biadab,1,1,0,1,0
user jokowi mundur pas,1,0,1,0,0
war jubah jubah simak iya kyungsoo taehyung bias war kampang,0,1,0,0,0
user user binatang kutuk,1,1,0,1,0
user user xf kali f kali kali xf kali f kali kali xf kali f kali kali bilang anti asing aseng asong kofar kafir kampretttt manusia munafik user doyan aseng import bawang puti,1,1,0,1,0
user user pagi amal post minum kopi galfok meja makan kayu kasih taplak eh bagus lihat cangkir kopi bagus eh rak belakang suka xf kali f kali kali xf kali f kali kali tata display,0,0,0,0,0
user user kemon bahasa budaya muahaha,0,0,0,0,0
risau nih asuh lesbi xf kali f kali kali,0,0,0,0,0
user user dasar tolol,1,1,1,0,0
user hormat lacur pade iblis betina kerja nyebarin isu bohong nista sih hidup,1,1,1,0,0
user user user ganti presiden celeng lansung klojota salah rockygering bilang celeng dungu stabil,1,1,0,1,0
memek sodok,0,1,0,0,0
pesona budaya suku kamoro ð ²ð rambah wilayah timur kanton st gallen user user user user,0,0,0,0,0
user user tentu sistem metabolisme orang makan dikit serap gampang gendut sistem serap rendah makan kurus xf kali f kali kali,0,0,0,0,0
sedia lapang kerja orang indonesia karyawan ptfi karyawan nasional karyawan papua karyawan asing,0,0,0,0,0
user user lang arah mana buta warna hambat si menteri presiden pas bijak,0,0,0,0,0
rezim soeharto izin luas juta hektare kontrak anyar,0,0,0,0,0
user user coba hilikopternya pakai uk serang yahudi zionis iya,0,0,0,0,0
isu partai komunis indonesia muncul semenjak tabloid obor rakyat isu fitnah jokowi turun partai komunis indonesia kembang jatuh sudut presiden jokowi,0,0,0,0,0
user user bangkai lu,1,1,1,0,0
proyek strategis presiden jokowi selesai periode kabinet kerja,0,0,0,0,0
user gilir disodorin fakta cebong mingkem cebong die sengsara dkung dil otak kontaminasi group chat mikir waras,1,1,0,1,0
retweet user siang siang enak disepongin pecun url,0,1,0,0,0
minum keras oplos lari warga akibat ekonomi sosiolog ui paulus wirutomo menyebutâ,0,0,0,0,0
anak raja anak ulama tulis imam al ghazali,0,0,0,0,0
user kalo amp hukum sih bangkai turun babi keparat derita alami rakyat indonesia nusantara dlmnya bahasa adat istiadat budaya ras agama suku lain n_pemimpin,1,1,1,0,0
user cebong girang kibulin najis bong mata picek,1,1,0,1,0
takiyuddin kerusi parlimen tanding abdul had pru,0,0,0,0,0
ayat kaji penggal kepala pancung jari,1,0,0,1,0
user user user bak sampah jerman anis resmi wc keliling gunting pita iya nis,1,0,1,0,0
jodoh tang tuhan mantan tang setan _,0,1,0,0,0
user kalo bunyi langsung turus back up kalo berafliasi langsung cap antek nsetahu wartawan aus belanda lain papua rutin cek cek ham iya rutin,0,0,0,0,0
pakar ekonomi sambut positif jokowi harry tanoe,0,0,0,0,0
anda jend suharto nasib bangsa indonesia negara komunis ateis user user user,1,0,0,1,0
user user user sangup nangkep presiden tugas partai junjunan mangkrak iya jinjing bloon,1,1,1,0,0
retweet user lawan politik tebar fitnah upaya jegal prabowo maju pilih presiden url,1,0,1,0,0
user user user junjung cebong licik ya hamba tukang bohong,1,1,1,0,0
retweet user user film bakar sekolah citra user url,1,0,0,1,0
user mari doa tegak hukum sehat selamat gaji thr limpah umum presiden angkat orang hina agama islam duta pancasila nsalam hangat user pip,0,0,0,0,0
user user user oooohhh ok pasal pusat aman elok malaysia nasihat tekan arab saudi bom yaman bds arab saudi malaysia tengah orang bangga makan mcd produ,0,0,0,0,0
fubu an ajar calon partner langsung hajar pakai analisa swot ajar strengthnya weaknessnya opportunity kayak amp threat bahaya logic dikit gara disyerpik ketemu langsung sikat psyco mampus l,1,1,1,0,0
user dukung rezim warrrbisah,0,0,0,0,0
retweet user hati hati orang orang kader gusdur pribumi antek cina pasang rezim ngepret,1,0,0,1,0
anggur tingkat,1,0,1,0,0
user user kecoak omong juntrung iya gue tinggal mutu omong orang dungu ente,1,1,1,0,0
presiden jokowi pns bahagia bijak,0,0,0,0,0
user indonesia milik islam kristen budha hindu,0,0,0,0,0
user tindak curang paslon kotor pilih kepala daerah sumut,0,0,0,0,0
bodo bngs uas url,1,1,1,0,0
user hamil hahahah gembrot lucu banget,0,1,0,0,0
user professor bilang bloon,0,1,0,0,0
user harap rezim ane mustahil pesan ane user bahan citra pilpres gantipresiden xf kali f xa xaa xf kali f xa xaa xf kali f xa xaa xf kali f xa xaa,0,0,0,0,0
solo rank comeback sakit xf kali f kali kali nane kalo tank takut war xf kali f kali kali ccd xf kali f kali kali nemosi bangkai xf kali f kali kali,0,1,0,0,0
user user jyjyk homo,1,1,1,0,0
tili tili bom russian lullaby xf kali f kali xb xf kali f kali xb xf kali f kali xa,0,0,0,0,0
coincidentally doa makan sama mas mas katolik meja he made sign of the cross mbak mbak kristen meja samping think bcs she folded her hands adem banget xe kali xba xef xb kali f xe kali xba xef xb kali f xf kali f kali kali xf kali f,0,0,0,0,0
user user udik pecahin balon wkwk,0,1,0,0,0
user user user dasar celeng,1,1,1,0,0
user user bank perintah gulung tikar kmdn jual asing aseng,0,0,0,0,0
mega rona malaysia april beli langgan,0,0,0,0,0
innalillahi wainna ilaihi rojiun keluarga nahdlatul ulama duka cita dalam wafat kiai kholilurrahman ra lilur cicit syaikhona kholil bangkal moga allah rahmat tempat ra lilur sisi nya amin,0,0,0,0,0
user pegang rusia takut tuduh antek komunis pegan kroasia takut tuduh antek kafir semenjak tukang tuduh hpup sulit,0,0,0,0,0
user maling teriak maling kafir teriak kafir orang lahir campur tahi,1,1,1,0,0
sih anak kampang muncul twitter user,1,1,1,0,0
user user bapak sih kak cocot sitohang,1,1,1,0,0
laki laki brengsek laki laki brengsek dunia,0,1,0,0,0
puisi karya user lahir orde suara suara orang orang tindas gera reformasi orde,0,0,0,0,0
user kntl,1,1,1,0,0
user unik jokowi,1,0,1,0,0
lebih orang tun chedet lu turn ð pm,0,0,0,0,0
nabi adam fiksi nabi ibrahim fiksi nabi musa fiksi nabi nuh fiksi nabi isa fiksi ulama dungu ingat nuzul quran ikut logika user,1,1,1,0,0
teriak allah hu biadab rusak telinga fahri diskusi buang islam dewan wakil rakyat,1,1,0,1,0
user user user user user user kkkkkkkkkkkkkk bong junjung dungu plonga plongo,1,1,0,1,0
isu manusia rohingya bukti ketidakcermatan user tim kelola isu,1,0,0,1,0
selamat siang masyarakat bantenð sambut pilih kepala daerah serentak banten penuh bahagia aman kondusifð,0,0,0,0,0
sesal bangsad v nkarna sakit ngapa kapai tunggu sehat iya lihat bangsad,1,1,1,0,0
user user kafir nyamar makan babi mulut junjung pakai tolak,1,1,1,0,0
user user user user user user user user user user user user user user user eh serius pengin muntah benar tahi kakak,1,1,1,0,0
user sinting rusak,1,1,1,0,0
aki amien rais bilang prabowo karno karno satu suku agama ras pulau nkri wowo mmcah belah dasar mabok aki,1,0,1,0,0
user hmmmm som cium bau bau bangkai,0,0,0,0,0
dewan wakil rakyat revisi uu terorisme revisi uu kalimat kalimat ambigu tuju bagus salah paham salah paham rusak harmonisasi kewarganegaraan pecah,0,0,0,0,0
ngiklanin promo cashback appnya guna kode hasil cashback masuk bilang salah sistem promo nbodo woy salah sistem urus cashback janji oleh user url,0,1,0,0,0
user salah ajar kacamata tvshow salah lanjutin laku positif banget mah dasar tolol gak kembang,1,1,0,1,0
user ulama nu mngajarkan tentg hormat antr beda agama suku bahasa budaya,0,0,0,0,0
rezim jokowi baca rezim surabaya jilid raih dukung republiken isu islam radikal terorisme islam ancam isis islam nusantara lgbt lain goreng republiken as presiden ri tang,1,0,1,0,0
silaturahmi pimpin dkm masjid al tsar h toniman beliau doa hasanah menang pilih kepala daerah jabar sukses program program hasanah profesional rakyat user user,0,0,0,0,0
user anti kebhinnekaan cebong tuduh ummat islam,1,1,0,1,0
retweet user begitu main persija bakar kumis nsuporter baperan nengga laku main xe kali xa,0,0,0,0,0
dalih pilar mpr dungu biadab bangsa dakwah islam seru sembah allah swt benci kafir mecah bangsa,1,1,0,1,0
user user user user user user user kno gue bilang banci hti makan duit perintah sah ganti dasar pancasila negara khilafah banci nama,1,1,0,1,0
selamat sore tweeps presiden jokowi pimpin rapat batas bahas kembang siap asi games xviii istana presiden bogor jawa barat butir arah simak iya,0,0,0,0,0
perintah tetap daftar proyek strategis nasional realisasi sâ,0,0,0,0,0
perintah gus ipul puti kuat program nawacita presiden jokowi jawa timur salam jari,0,0,0,0,0
user mari ngewe,0,1,0,0,0
user aaaamiiiiiiinnnn nmudah mudah geblek riya posting gaji timeline,0,1,0,0,0
user user dengar laut banda tutup teliti asing regulasi teliti laut banda leader nya teliti indonesia kapal riset indonesia serta teliti asing,0,0,0,0,0
user user key point cebong dungu kolam ngeyel nya kolam pokok ganti iya xf kali f kali kali,1,1,0,1,0
pemikiranduaarahriskandihantammasalahkarenaposisinyaditengahsebagaipenyeimbangbilaterlalucondonghabislahsudah kalauhitamkatakanhitambegitupulasebaliknya,1,0,1,0,0
retweet user user september perang partai komunis indonesia desember perang topi santa prabowo tri peran wanita,1,0,1,0,0
retweet user iya bajing nterima kasih,0,1,0,0,0
user norak kakak hidup nista norak,0,1,0,0,0
user user gerombol pks booking pecun hotel travel fashion hotel area gunung sahari plus markas aleksis mah tumbal citra sisa aman wan abud,0,1,0,0,0
tahu ndengan ajak orang kawan adik adik dara mara jiran taman beli psk jemaah psk shj npromosi nih tamat xe kali xa url,0,0,0,0,0
panwaslu sukamara terima lapor langgar pilih kepala daerah,0,0,0,0,0
bijak indonesia tentang penting cina,1,0,0,1,0
user user lupa ayah deh mati bom bunuh surabaya linglung,0,0,0,0,0
dewan wakil rakyat mpr ambil tindak pecat hormat setya novanto sudi wakil manusia hina ttd rakyat indonesia,1,1,1,0,0
user iya huhu orang udik langsuh xf kali f kali kali xf kali f kali kali kayak peru kompilasi bilang waaah,1,1,1,0,0
user user user user user dongo suporter promosiin film wkwkwk politik wkwkk,1,1,1,0,0
user cewek homo,1,1,1,0,0
usir budha myanmar kacau myanmar,1,0,0,1,0
sulit tutup bocor kapal mana iya ganti kapal,0,0,0,0,0
heran deh ya cape lari lari pikir,0,0,0,0,0
norak kampung nagita slavina ibunda ayu ting ting doa url,0,1,0,0,0
retweet user iya orang indonesia suruh tertib susah banget salah contoh tertib krl xe kali xa,0,0,0,0,0
user ini rezim anti islam ya ngertilah,1,0,1,0,0
user provokasi lengeserkan jokowi lengser jusuf kalla adil ramai tamak,1,0,1,0,0
user tante kunti jtnya lumayan lebaran xf kali f kali xa,0,0,0,0,0
gila iya webtoon matahari lingkar nikah arka sinting nanges,0,1,0,0,0
retweet user tonton perhati praktek mantap need stronger bottom like that anjing parah xe kali xa,0,1,0,0,0
user rezim sensasional tindak peristiwa luar nalar dominan terjdi doa moga deklarasi islam cebong nusantara xf kali f kali kali f,1,1,0,1,0
tentara saudi suriah isis banci lari libya url url,1,1,0,1,0
user bayar artis iya menang tertawa sakit dsb multitalen nartis film komunis,0,0,0,0,0
ahok bebas ulama komando revolusi lengser jokowi _ sumber _url,1,0,1,0,0
retweet user rindu bajing,0,1,0,0,0
selamat derita orang hih url,1,0,1,0,0
rindu pimpin pimpin ð,0,0,0,0,0
â fabi ayyi alaâ rabbikuma tukazziban â alhamdulilah nikmat tuhan dusta ð ð,0,0,0,0,0
budha bantai muslim rohingya,1,0,0,1,0
presiden trump as korut adakan bicara langsung tingkat presiden amerika donald trumpâ,0,0,0,0,0
user bijak kembali barang konsumen barang rusak cacat produksi konsumen puas produk hitung tanggal beli user user,0,0,0,0,0
user dusta pimpin agama kristen iya kakak perempuan,1,0,0,1,0
user user lo goblog twet sih bodoh omong sih wowo arah kesitu,1,1,1,0,0
user user user user kajakajakajakaja muito bom,0,0,0,0,0
retweet user user kartu kredit utang negara,1,0,1,0,0
user mbappe nnama nita apriani ndomisili palembang nid youtube nita apriani,0,0,0,0,0
paham perintah pusat kes biar asu progran bodoh progresif tau ya masyarakat nilai program hancur iya nama asu pose elang ngepet url,1,1,0,1,0
tulis pagi budaya rugi sehat moga guna,0,0,0,0,0
user pimpin user dorong kuat ump layak amp program era penuh ubah kalang buruh migran lokal url,0,0,0,0,0
iya gara-gara bupati samosir bilang jokowi presiden samosir haters ramai ban bilang hoaks poto sukarno tepi danau toba danau toba keliling kabupaten haters orang sumut,0,0,0,0,0
retweet user user galak kasar omong jaga ntapi pacar terima sayang mah kak xe kali xa,0,0,0,0,0
user anak anak pikul bom turut delusi orang tua,0,0,0,0,0
user user kaum cebong dungu saham ambil putus mayoritas untung nang gaji kerja alat freeport,1,1,1,0,0
user user user user user user user user user user user pakai jilbab komunis megawati sri mulyani puan maharani nmo ngetwit pintar iya tong,1,0,1,0,0
user user cerita angst suka sad ending mewek benar baca gembel banget gasih wkwk,0,1,0,0,0
user user user user bicara,1,1,1,0,0
user bodo tarik titik,0,1,0,0,0
user karno anti asing indonesia pbb gera non blok beliau mayoritas jawa puja jadi presiden umur hidup nmentah min ente,0,0,0,0,0
user user user user kondisi mencret minum susu kental manis sebab kadar gula dalam kondisi faktor intoleransi individu susu sapi,0,0,0,0,0
retweet user jokowi staf ahli khusus tahan aset nasional diktator pacar lokal,1,0,1,0,0
user user user user user user user user user user user user user orang tolol idiot bahaya dengar xe kali kali chutang xe kali kali jadi bahan bully perintah kritik presiden hutang sebab cashflow negara negatif,0,1,0,0,0
user ayah tsundere dingin jarang omong canggung orang asing kadang tarik pelit wkwk langsung dibeliin beda nabung madrid jam siang,0,0,0,0,0
masif cina antek komunis url,1,0,0,1,0
user asli bodoh kelar partai kualitas partai allah ckckck bego bani micin setia dukung bos capres dumbception,1,1,0,1,0
user orang indonesia waras sehat jasmani rohani percaya presiden jokowi muslim pengaruh dunia kecuali kader anggota gerindra percaya,0,0,0,0,0
user miiinn iya lb tambah duh maaf min celeng erti hahaha terima kasih min you reply the best,0,0,0,0,0
rakyat dengar sesuai atur kabar media duga korupsi berita tka penuh timeline berita tv url,0,0,0,0,0
user user proses buang islam main paksa sadar,1,0,0,1,0
ahok tamat penjara ahok penjara ahok,1,0,0,0,1
isu partai komunis indonesia hembus grup grup dukung prabowo,1,0,0,1,0
user tolong ajak buzzer pintar anggar jago hina orang suka pakai lapor polisi aduh,1,0,1,0,0
haji tipu ibrahim kubur kabah biar rakyat tipu lukman,1,0,0,1,0
retweet user sinting kah bos bubar kpk kalo orang orang,1,0,1,0,0
user user sampean sarap iya kalo impor pswat terbg impor garam bayang indonesia isi garam garam jgdiimpor dasar otak ente ampu kaki,1,1,1,0,0
marked as read catat hari menantu sinting by ros l simamora url,0,0,0,0,0
user user iya waspada antek komunis pintar kamuflase,1,0,0,1,0
jokowi pilih lantik presiden ri oktober,0,0,0,0,0
user xf kali f kali kali xf kali f kali kali xf kali f kali kali jabat perintah gubernur tingkat tri dewan wakil rakyat layak potong gajih bayar pajak bayar zakat mal sisa fakir miskin tutup utang neg,0,0,0,0,0
apa nya muara nya tanggung presiden solusi solusi baik turun jokowi,1,0,0,0,1
presiden user sistem izin usaha integrasi onlen onlen single submission terap menteri tingkat provinsi tingkat kabupaten tingkat kota mus user,0,0,0,0,0
user user leceh gera sholat legal mas nitu jabat kenal olahraga aneh rejim mana ya,0,0,0,0,0
user captain tae ganteng garam user wkwkw,0,0,0,0,0
user foto memek nya,0,1,0,0,0
user tokoh agama politik praktis jabat publik identitas agama lingkung agama budha aku biksu makan daging iya minum minum keras iya keluarga,1,0,0,1,0
user user user milik sial bodoh pasti otak sial,1,1,0,1,0
user ayo deh dukung penuh,1,0,1,0,0
user user user user takar liberal sekuler syiah komunis intoleran ekstrimis,0,0,0,0,0
nama alana milik masalah rumit sadar titik rendah titik rendah kelabu bisu,0,0,0,0,0
user dower rapper onta milik hati lu,0,0,0,0,0
gue mimpi sentilin biji babi ahok pcetar pcetar langsung kejang die adu jokowi jokowi makanye sunat omong almaidah,1,1,1,0,0
user edan t,0,1,0,0,0
faham faham bahawa betapa tinggi ilmu ulama faham tg ahmad ridauddin,0,0,0,0,0
user wkwkwkwk mampus lu,1,1,1,0,0
user user user user user user user user user user user user user user user sih aseng rebut kaya indonesia xf kali f kali kali xf,0,0,0,0,0
user user user bodat komunis piara cina loleng,1,1,1,0,0
retweet user antek partai komunis indonesia simpatisan proxy cina komunis benci tni panglima wajar seekali merek,1,0,0,1,0
user user user user user user ganti rezim ulama ulama turun jalan demo suara adil nsalut user moga demokrat partai islam rapat,0,0,0,0,0
user anjir guhe,0,1,0,0,0
user user user kalo taplak meja warna merah putih ditaroin asbak rokok iya,0,0,0,0,0
user user user hindu kenal sidang hindu percaya hukum karma mana tuhan programmer agung buat hasil padan hasil bakar neraka bentuk,0,0,0,0,0
user banci thailand mah cegan oppa,0,1,0,0,0
user promosi bani sial,1,1,1,0,0
sulit monyet apel manis pisang,0,0,0,0,0
daftar lengkap proyek coret jokowi pesan,0,0,0,0,0
senang nya,0,0,0,0,0
user iyain orang idiot obrol kakak,0,1,0,0,0
user nya lu gerombol lu hina presiden mesti duluan proses,1,0,1,0,0
suka video user,0,0,0,0,0
cont kelamin wanita dengar penuh lokasi ubah wujud jiwa peran ndalam hati kutuk buru orang orang asing kejar tim tugas cowok,0,0,0,0,0
user pers kritisi nyata menteri agama bangsa bohong,0,0,0,0,0
user lihat sih sial wkwk,0,1,0,0,0
sembak camp jual zuzu zapi murni nmaw zuzu zapi orang kambink orang quda orang onta orang zebra murni npasti tutup hidung pas minum he,0,0,0,0,0
user pawanf monyet pawang monyet,0,1,0,0,0
user bau korban cowok pintar cakep bawa asa onta xf kali f kali kali sih xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali,0,1,0,0,0
lengser jokowi frop parah frop user,1,0,0,0,1
user user buta iya om,1,1,1,0,0
sesal upfoll anjir fers nya hilang audit turun,0,1,0,0,0
user user user user user baca judulnye monyet domba idiot,1,1,1,0,0
pilih kepala daerah ntt,0,0,0,0,0
bebas adil ust alfian tanjung langsung tangkap mana adil url url,1,0,1,0,0
user kak ab bin al asyraf salah tokoh yahudi benci terhdap dakwah nabi hafal al qur an,0,0,0,0,0
user segregation nih zaman since zaman nabi muhammad ubah sikap manusia amal budaya diskriminasi malaysia nih actually deh aman gaduh teruk sa,0,0,0,0,0
user user fitnah makan lo akun sampah,1,1,1,0,0
user lu anak monyet bawa agama bicara politik wawas wwsn lu dangkal sosmed lu bcranya sektariannizrm pecah belah umat agam suku ras agama bicara kecebong makar panglima gatot kaitanny,1,1,1,0,0
user user hehehehe muhammadiyah mas kiai dahlan tuduh kyai kafir lain,0,0,0,0,0
ya festival budaya nabuuunggg ð ð,0,0,0,0,0
user al qur an jadi alat bukti kapolri bom surabaya,0,0,0,0,0
moga allah menghancurleburkan kafir budha teroris zalim kaum muslim rohingya,1,0,0,1,0
retweet user loh dilakuin oppa oppa koriya bilang oppa koriya banci banci militer htt xe kali xa,0,1,0,0,0
user percaya bukti kisah kisah profesor yahudi masuk islam takjub teliti bla bla bla suka seliwer grup whatsapp xf kali f kali kali,0,0,0,0,0
riah acara temu masyarakat indonesia gubernur user kjri istanbul ajar gubernur pesan bangun jaring indonesia user,0,0,0,0,0
retweet user user zaman surabaya antek antek partai komunis indonesia rajalela ganas,1,0,1,0,0
retweet user csis bohong harp menang cuih url,1,0,1,0,0
sampah ambil kursi cafe manjaaaaa ketulungan,0,0,0,0,0
tweet alhamdulillah ingat sendawa kenyang hahhahahaha sori noob be right back ececeh,0,0,0,0,0
mundur gatot amp saing sehat pakai jokowi,1,0,1,0,0
teriak presiden nya militer opsi capres sipil alam mantan presiden militer hasil krisis moneter mega proyek mangkrak salah,0,0,0,0,0
retweet user pe kak es lagiiiii user lho partai sial sejati url,1,1,0,1,0
user nama cari nafkah bangsad,1,1,1,0,0
user user tuju pakai banget sekjen pcn partai cocot nusantara,1,1,0,1,0
makan murah iya allah lis nih yahudi penah makan hengget sobsssss sukanyaaaa xf kali f kali kali xf kali f kali kali,0,0,0,0,0
user tradisi semit yahudi nama bar banget mitzvah umur ya hitung dewasa ukur haid gadis ya haid matang kawin ntradisi hejaz kawin usia,0,0,0,0,0
keparat orang mantan,1,1,1,0,0
user wni turun arab juang nkri raden saleh pahlawan nasional habib abubakar aktif gera islam ar baswedan kakek anies baswedan anggota badan selidik usaha siap merdeka ri mar ie muhammad eks,0,0,0,0,0
sekjen pbb kayak saracen,1,0,1,0,0
suka video user url ahok bebas anies puruk amp ancam gagal gubernur sandi resmi,1,0,1,0,0
user sial rusak nusantara jaman majapahit wadah hti cs ide killafah,1,1,0,1,0
retweet user user bejad poko deh,0,1,0,0,0
user user user user jiaaahh gue pikir loh warna mikir kayak banget idiot nya xf kali f kali kali xf kali f kali kali xf kali f kali kali,0,1,0,0,0
